Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Kategorie,Summe Cluster-Effekte,Anzahl Cluster
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9402.168355555556,471.81437811134276,,Kombination,49.676,2.0
"Monetarisierung, Community & Nutzerbindung",9390.592222222222,242.8765802792605,,Kombination,56.10000000000001,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9369.061688888889,71.62131156555455,,Kombination,81.57600000000001,3.0
Alle Cluster,9305.417244444443,405.8981852951863,,Kombination,114.57600000000001,4.0
Freemium Modell,9298.681111111111,102.39295192396744,25.0,Einzelmaßnahme,,
Treuepunkte,9297.181111111111,102.39295192396744,20.0,Einzelmaßnahme,,
Personalisierte Empfehlungen,9296.431111111111,102.39295192396744,17.5,Einzelmaßnahme,,
Affiliate-Marketing,9295.98111111111,102.39295192396543,16.0,Einzelmaßnahme,,
Regionale Kooperationen,9294.181111111111,102.39295192396744,10.0,Einzelmaßnahme,,
Nachhaltige Werte,9294.181111111111,102.39295192396744,10.0,Einzelmaßnahme,,
SEM,9292.729111111112,102.39295192396568,5.16,Einzelmaßnahme,,
Nachhaltige Produktfilter,9292.681111111111,102.39295192396744,5.0,Einzelmaßnahme,,
CO2-Transparenz,9292.681111111111,102.39295192396744,5.0,Einzelmaßnahme,,
Reduzierte Gebühren,9292.381111111112,102.39295192396568,4.0,Einzelmaßnahme,,
Social-Media-Marketing,9291.78111111111,102.39295192396744,2.0,Einzelmaßnahme,,
Eigenes Forum,9291.78111111111,102.39295192396744,2.0,Einzelmaßnahme,,
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9258.756133333334,391.82836323233914,,Kombination,58.476,2.0
Nachhaltigkeit & Lokalität,9222.37111111111,158.9385866488244,33.0,Cluster,,
Monetarisierung,9222.04111111111,158.93858664882524,31.900000000000002,Cluster,,
Sichtbarkeit & Nutzergewinnung,9220.11391111111,158.93858664882427,25.476000000000003,Cluster,,
Community & Nutzerbindung,9219.731111111112,158.93858664882524,24.200000000000003,Cluster,,
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9210.287244444442,359.90488703935995,,Kombination,57.376000000000005,2.0
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9197.923333333332,369.2235991163686,,Kombination,89.10000000000001,3.0
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9172.919466666666,222.66178031065698,,Kombination,82.676,3.0
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9132.706666666665,62.68758152758511,,Kombination,57.2,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9069.388355555557,224.38096305498317,,Kombination,90.376,3.0
"Monetarisierung, Nachhaltigkeit & Lokalität",8999.133333333331,506.86915150208483,,Kombination,64.9,2.0
