Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Kategorie,Summe Cluster-Effekte,Anzahl Cluster
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9349.0528,245.3032360841034,,Kombination,90.376,3.0
Alle Cluster,9329.496133333332,223.15814708657027,,Kombination,114.57600000000001,4.0
Nachhaltigkeit & Lokalität,9322.095555555554,208.36317323188214,33.0,Cluster,,
Monetarisierung,9321.765555555556,208.363173231882,31.900000000000002,Cluster,,
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9320.839999999998,191.89786088206148,,Kombination,57.2,2.0
Sichtbarkeit & Nutzergewinnung,9319.838355555554,208.36317323188214,25.476000000000003,Cluster,,
Community & Nutzerbindung,9319.455555555554,208.36317323188132,24.200000000000003,Cluster,,
"Monetarisierung, Nachhaltigkeit & Lokalität",9229.006666666666,322.1221862896122,,Kombination,64.9,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9222.169466666664,210.57219580097575,,Kombination,81.57600000000001,3.0
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9192.311688888889,147.6630395466247,,Kombination,58.476,2.0
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9187.896133333334,262.8137331098038,,Kombination,57.376000000000005,2.0
"Monetarisierung, Community & Nutzerbindung",9179.916666666666,308.6448401930242,,Kombination,56.10000000000001,2.0
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9070.660577777777,414.68657403089543,,Kombination,82.676,3.0
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9064.833333333332,234.4942120347061,,Kombination,89.10000000000001,3.0
Freemium Modell,9016.505555555554,127.92644094397608,25.0,Einzelmaßnahme,,
Treuepunkte,9015.005555555554,127.92644094397608,20.0,Einzelmaßnahme,,
Personalisierte Empfehlungen,9014.255555555554,127.92644094397608,17.5,Einzelmaßnahme,,
Affiliate-Marketing,9013.805555555555,127.92644094397556,16.0,Einzelmaßnahme,,
Regionale Kooperationen,9012.005555555554,127.92644094397608,10.0,Einzelmaßnahme,,
Nachhaltige Werte,9012.005555555554,127.92644094397608,10.0,Einzelmaßnahme,,
SEM,9010.553555555556,127.92644094397767,5.16,Einzelmaßnahme,,
Nachhaltige Produktfilter,9010.505555555554,127.92644094397608,5.0,Einzelmaßnahme,,
CO2-Transparenz,9010.505555555554,127.92644094397608,5.0,Einzelmaßnahme,,
Reduzierte Gebühren,9010.205555555556,127.92644094397713,4.0,Einzelmaßnahme,,
Social-Media-Marketing,9009.605555555556,127.92644094397662,2.0,Einzelmaßnahme,,
Eigenes Forum,9009.605555555556,127.92644094397662,2.0,Einzelmaßnahme,,
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",8912.299466666665,304.74922227591975,,Kombination,49.676,2.0
